country_alpha,country,respno,rawidentity,dv_identity,region,age,gender,ethndom,employment,educ,poltransform,econtransform,socialtransform,colyears,colpower,colpopulation,coastal,loggdp1980,loggdp2013,conflictyears,democ2013
5,BDI,BDI0107,5,1,EA,35,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0108,5,1,EA,50,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0109,5,1,EA,27,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0110,4,1,EA,22,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0111,5,1,EA,43,0,1,1,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0114,4,1,EA,38,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0115,5,1,EA,50,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0116,5,1,EA,27,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0117,5,1,EA,35,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0118,5,1,EA,34,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0119,4,1,EA,52,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0121,5,1,EA,24,1,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0122,5,1,EA,66,1,0,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0123,5,1,EA,25,0,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0124,4,1,EA,27,0,0,2,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0125,5,1,EA,40,1,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0126,4,1,EA,27,1,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0127,5,1,EA,31,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0128,5,1,EA,67,0,0,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0129,5,1,EA,26,1,0,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0130,5,1,EA,47,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0131,3,0,EA,65,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0132,5,1,EA,26,1,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0133,4,1,EA,27,0,0,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
